Localidad;Departamento;Provincia;Latitud;Longitud;Estado
1° de Mayo;Cainguás;Misiones;-27,16608489;-55,02916527;Conectado
2 de Mayo _Nucleo 1;Cainguás;Misiones;-27,02053933;-54,6877327;Conectado
2 de Mayo _Nucleo 2;Cainguás;Misiones;-27,02911957;-54,6647616;Conectado
2 de Mayo _Nucleo 3;Cainguás;Misiones;-27,00657685;-54,61235362;Conectado
20 de Septiembre;Nogoyá;Entre Rios;-32,387126;-59,662446;Conectado
25 de Mayo;Puelén;La Pampa;-37,76970537;-67,71729582;Conectado
25 de Mayo..;25 de Mayo;Buenos Aires;-35,43393859;-60,17312095;Conectado
25 de Mayo..;San Rafael;Mendoza;-34,58591389;-68,54956822;Conectado
9 de Julio;9 de Julio;San Juan;-31,66975092;-68,39004164;Conectado
9 de Julio..;9 de Julio;Buenos Aires;-35,44474351;-60,88434334;Conectado
Aaron Castellanos;General López;Santa Fe;-34,33453234;-62,37480077;Conectado
Abasto Silica;La Plata;Buenos Aires;-35,0103682;-58,11518486;Conectado
Abra Grande;Banda;Santiago del Estero;-27,29313302;-64,37906452;Conectado
Abra Pampa;Cochinoca;Jujuy;-22,72156976;-65,69321375;Conectado
Acevedo;Pergamino;Buenos Aires;-33,75566535;-60,44083739;Conectado
Acheral;Monteros;Tucuman;-27,1207205;-65,47056472;Conectado
Adelia Maria;Río Cuarto;Cordoba;-33,63162;-64,020837;Conectado
Aerolito;Moreno;Santiago del Estero;-27,23644254;-62,3796577;Conectado
Aguada Cecilio;Valcheta;Rio Negro;-40,84787378;-65,83932746;Conectado
Aguada de Guerra;25 de Mayo;Rio Negro;-41,06390171;-68,38438104;Conectado
Aguaray;Gral.J. de San Martín;Salta;-22,23881431;-63,72838892;Conectado
Aguas Blancas;Orán;Salta;-22,72456119;-64,34631922;Conectado
Aguilares;Rio Chico;Tucuman;-27,42985112;-65,62040667;Conectado
Agustin Roca;Junin;Buenos Aires;-34,50808441;-60,86489565;Conectado
Agustina;Junin;Buenos Aires;-34,46070686;-61,06707233;Conectado
Aimogasta;Arauco;La Rioja;-28,55898984;-66,8272851;Conectado
Alberdi Viejo;Leandro N. Alem;Buenos Aires;-34,44180033;-61,84487878;Conectado
Alcaraz _Pueblo Arrua;La Paz;Entre Rios;-31,45658897;-59,59913887;Conectado
Alcira Gigena;Río Cuarto;Cordoba;-32,757065;-64,33786;Conectado
Aldea Asuncion;Gualeguay;Entre Rios;-32,82517153;-59,23123792;Conectado
Aldea Brasilera;Diamante;Entre Rios;-31,89228645;-60,59179775;Conectado
Aldea Maria Luisa;Paraná;Entre Rios;-31,88472923;-60,40874569;Conectado
